total_occurrences	family_key	n_forms	forms	first_source
1	תעקננ	1	תעיקנון	תורה ארמית (פסוק 4862)
1	תעק	1	תעיק	תורה ארמית (פסוק 4852)
1	תעבסנ	1	ויתעבסון	מימר מרקה I:10a
1	תסתמרנ	1	ותסתמרון	תורה ארמית (פסוק 4924)
1	תנסנ	1	תנסון	תורה ארמית (פסוק 5004)
1	תנס	1	מתנסה	מימר מרקה III:39
1	תנטל	1	תנטל	תורה ארמית (פסוק 4928)
1	תנט	1	מתנט	מימר מרקה IV:76
1	תמערנ	1	תמערון	תורה ארמית (פסוק 4911)
1	תמחננ	1	ותמחנון	תורה ארמית (פסוק 5015)
1	תלפת	1	ואתילפת	מימר מרקה VI:12
1	תכתת	1	ותכתתה	תורה ארמית (פסוק 5080)
1	תחצב	1	תחצב	תורה ארמית (פסוק 5048)
1	תחדפ	1	תיחדיף	מימר מרקה III:50
1	תזעק	1	ותזעקי	תורה ארמית (פסוק 6970)
1	תזנתנ	1	ואתזנתון	תורה ארמית (פסוק 4838)
1	תזדתנ	1	ואתזדתון	תורה ארמית (פסוק 4840)
1	תזדנ	1	דתזדהן	מימר מרקה III:48
1	תדעננ	1	ותודענון	תורה ארמית (פסוק 4918)
1	תדח	1	ותדח	תורה ארמית (פסוק 4928)
1	תגרנכנ	1	ותיגרניכון	תורה ארמית (פסוק 4809)
1	תגע	1	תגע	מימר מרקה III:64
1	תגלגנ	1	יתגלגון	מימר מרקה I:43
1	תגחנ	1	תגחון	תורה ארמית (פסוק 4839)
1	תברתננ	1	ותברתנון	תורה ארמית (פסוק 5076)
1	תבעתנ	1	בתובעתון	מימר מרקה VI:58
1	תבט	1	תהבט	מימר מרקה III:67b
1	שתרר	1	משתרר	מימר מרקה III:42
1	שתרפמ	1	משתרפים	מימר מרקה IV:45
1	שתצמ	1	משתיצאים	מימר מרקה IV:88
1	שתנקמ	1	משתנקים	מימר מרקה IV:45
1	שתלת	1	שתלת	תורה ארמית (פסוק 5692)
1	שתלמ	1	משתאלים	מימר מרקה IV:89
1	שתח	1	וישתחוו	מימר מרקה IV:33
1	שרתכנ	1	לשראתכון	תורה ארמית (פסוק 4830)
1	שררתכ	1	משרראתך	מימר מרקה IV:56
1	שרננ	1	אשארנן	תורה ארמית (פסוק 4877)
1	שרד	1	שריד	תורה ארמית (פסוק 4877)
1	שקענכ	1	וישקעונך	תורה ארמית (פסוק 4939)
1	שצתננ	1	לשיצותנון	תורה ארמית (פסוק 5035)
1	שצת	1	לשיצאותה	תורה ארמית (פסוק 5079)
1	שפנכ	1	השפנך	מימר מרקה III:59
1	שעפ	1	שיעפיה	תורה ארמית (פסוק 6969)
1	שעלת	1	שעילתה	מימר מרקה I:70
1	שעדנ	1	וישעדון	תורה ארמית (פסוק 4819)
1	שמעכנ	1	כשמעכון	תורה ארמית (פסוק 4978)
1	שמלתכ	1	שמלתך	מימר מרקה IV:94
1	שמדמ	1	ואשמידם	מימר מרקה IV:92
1	שלשת	1	והשלישית	מימר מרקה II:3
1	שלק	1	שליק	מימר מרקה I:62
1	שכת	1	ושכתי	מימר מרקה V:29
1	שכלנ	1	ישכילנה	מימר מרקה IV:73
1	רתקת	1	וארתקות	מימר מרקה VI:64
1	רתק	1	ארתק	מימר מרקה III:7
1	רשתעבת	1	ראשתעבת	תורה ארמית (פסוק 681)
1	רשעת	1	ברשעת	תורה ארמית (פסוק 5064)
1	רפרפ	1	ירפרף	מימר מרקה IV:50
1	רמתננ	1	ורמיתנון	תורה ארמית (פסוק 5076)
1	רממת	1	מרממתה	תורה ארמית (פסוק 5032)
1	רמבת	1	רמבאת	מימר מרקה IV:71
1	רכש	1	והרכוש	מימר מרקה II:38
1	רכנכ	1	וארכנך	תורה ארמית (פסוק 5042)
1	רטבת	1	רטובתה	מימר מרקה VI:4
1	רגזתנ	1	ארגזתון	תורה ארמית (פסוק 5067)
1	קרכנ	1	בקוריכון	תורה ארמית (פסוק 4899)
1	קצצנ	1	קציצין	מימר מרקה IV:97
1	קעל	1	קעלה	מימר מרקה IV:57
1	קע	1	קע	מימר מרקה III:52
1	קלפמ	1	וקלפים	תורה ארמית (פסוק 4885)
1	קללע	1	קלולעיה	מימר מרקה I:69
1	צתכל	1	מצתכל	מימר מרקה I:33
1	צתדמ	1	מצתדים	מימר מרקה III:53
1	צעקתמ	1	צעקותם	מימר מרקה II:51
1	צעקת	1	צעקתו	מימר מרקה III:67b
1	צמדמ	1	צמידים	מימר מרקה III:64
1	צטדנ	1	יצטדון	מימר מרקה V:2
1	צטדכ	1	אצטדיך	מימר מרקה I:12a
1	צחלעקב	1	ליצחוליעקב	מימר מרקה I:33
1	פשרכנ	1	פשוריכון	תורה ארמית (פסוק 4813)
1	פרקמ	1	פריקים	מימר מרקה III:57
1	פרדסכ	1	פרדיסך	מימר מרקה V:9
1	פצכ	1	והפיצך	מימר מרקה IV:85
1	פנדת	1	פנודתה	מימר מרקה IV:67
1	פנד	1	דפנד	מימר מרקה IV:67
1	עתדת	1	עתידות	מימר מרקה IV:93
1	עשרנ	1	אעשירנו	מימר מרקה IV:80
1	עשנ	1	עשן	מימר מרקה V:27
1	עקש	1	עקש	מימר מרקה IV:33
1	עקרבנ	1	ועקרבין	תורה ארמית (פסוק 5054)
1	עפרת	1	להעופרת	מימר מרקה II:38
1	עפנת	1	בעפינית	תורה ארמית (פסוק 6969)
1	עמרתנ	1	עמרתון	תורה ארמית (פסוק 4812)
1	עמדת	1	עמידותה	מימר מרקה IV:93
1	עכמממ	1	ועכממים	תורה ארמית (פסוק 4812)
1	עבשנ	1	עבישין	מימר מרקה I:50
1	סתתר	1	יסתתר	מימר מרקה I:17a
1	סתרבכ	1	מסתרבך	מימר מרקה IV:56
1	סתט	1	סתטיו	תורה ארמית (פסוק 3715)
1	סתבל	1	דסתבל	מימר מרקה I:76
1	סקלנ	1	וסקלוני	מימר מרקה IV:60
1	סלעפ	1	סולעפיה	תורה ארמית (פסוק 6969)
1	סטתנ	1	סטיתון	תורה ארמית (פסוק 5075)
1	סטער	1	יסטערו	מימר מרקה IV:103
1	סגתכנ	1	מסגיותכון	תורה ארמית (פסוק 5020)
1	סגע	1	סגיעיה	תורה ארמית (פסוק 5798)
1	נתפח	1	אנתפח	תורה ארמית (פסוק 5043)
1	נשלח	1	נשלחה	תורה ארמית (פסוק 4819)
1	נקרנכנ	1	נוקרנוכון	מימר מרקה I:13a
1	נקרנ	1	נוקרנה	מימר מרקה V:23
1	נקל	1	אנקילה	מימר מרקה V:8
1	נפלמ	1	נפילים	מימר מרקה I:23
1	נעד	1	דינעיד	תורה ארמית (פסוק 4900)
1	נסנמ	1	בנסיונים	תורה ארמית (פסוק 4943)
1	נלפננ	1	נילפנון	מימר מרקה IV:100
1	נלפ	1	ונילף	מימר מרקה IV:39
1	נכב	1	ונכב	תורה ארמית (פסוק 5896)
1	נטעל	1	נטעיל	מימר מרקה III:25
1	נחצ	1	וינחץ	מימר מרקה IV:33
1	נחמננ	1	ינחמננה	תורה ארמית (פסוק 6965)
1	נחלנ	1	ינחלנה	תורה ארמית (פסוק 4835)
1	נזת	1	כניזתה	מימר מרקה IV:32
1	נזזע	1	נזזע	מימר מרקה III:46
1	נזדעק	1	נזדעק	מימר מרקה VI:21
1	נזדנ	1	נזדהן	מימר מרקה III:1a
1	נדנדנ	1	דנדנדוני	מימר מרקה I:14a
1	נדחכ	1	נדחך	מימר מרקה IV:70b
1	נגפתמ	1	ונוגפתם	מימר מרקה IV:85
1	מתשקנ	1	דמתשקהין	תורה ארמית (פסוק 6973)
1	משתרמ	1	דמשתארים	תורה ארמית (פסוק 5033)
1	משתצ	1	ומשתוצי	תורה ארמית (פסוק 993)
1	משררתכ	1	למשרראתך	מימר מרקה III:56
1	משצתנ	1	למשיצותון	תורה ארמית (פסוק 4858)
1	משלת	1	המשילתה	מימר מרקה VI:60
1	מרתננ	1	למירתנון	תורה ארמית (פסוק 5030)
1	מרפ	1	מרף	מימר מרקה IV:47
1	מרגס	1	ומרגס	מימר מרקה III:62
1	מק	1	מק	מימר מרקה VI:44
1	מפס	1	ומפיס	מימר מרקה IV:51
1	מעשר	1	במעשר	מימר מרקה III:65
1	מעצנ	1	ומעציון	תורה ארמית (פסוק 4851)
1	מעצבנ	1	ומעצבון	תורה ארמית (פסוק 6965)
1	מעברננ	1	למעברנן	תורה ארמית (פסוק 4873)
1	מעברכנ	1	במעברכון	תורה ארמית (פסוק 4976)
1	מעבדכנ	1	למעבדכון	תורה ארמית (פסוק 4923)
1	מעבבדנ	1	למעבבדנה	מימר מרקה IV:100
1	מסנת	1	ומסנאותה	תורה ארמית (פסוק 5087)
1	מנטרת	1	ומנטרותה	תורה ארמית (פסוק 5021)
1	מנטר	1	למנטר	תורה ארמית (פסוק 4911)
1	מלקש	1	ומלקוש	מימר מרקה V:25
1	מכעת	1	ומכעתאי	תורה ארמית (פסוק 4894)
1	מחצ	1	מחץ	מימר מרקה VI:34
1	מחלל	1	ומחליל	מימר מרקה VI:39
1	מזענ	1	דמזעין	מימר מרקה III:76
1	מדחפ	1	למדחף	תורה ארמית (פסוק 5007)
1	מגעז	1	ומגעז	מימר מרקה I:78
1	מברט	1	למברטה	מימר מרקה VI:20
1	מבזק	1	ומבזק	מימר מרקה III:74
1	לתקפ	1	הליתקף	תורה ארמית (פסוק 892)
1	לתמר	1	ולאיתמר	תורה ארמית (פסוק 2887)
1	לשכמ	1	ולשכם	תורה ארמית (פסוק 987)
1	לשבכ	1	ולהשיבך	מימר מרקה VI:39
1	לרשעת	1	ולרשעתה	תורה ארמית (פסוק 5086)
1	לקת	1	ולקהת	תורה ארמית (פסוק 3623)
1	לפדת	1	ולפדות	מימר מרקה II:4
1	לסע	1	ולסיע	מימר מרקה I:38
1	למנת	1	אלמנותה	תורה ארמית (פסוק 1121)
1	למכר	1	ולמכיר	תורה ארמית (פסוק 4895)
1	לללת	1	ילללת	תורה ארמית (פסוק 5670)
1	לחתננ	1	ולאחיותנן	תורה ארמית (פסוק 5012)
1	כתבר	1	ואכתובר	תורה ארמית (פסוק 645)
1	כצ	1	כיצ	מימר מרקה II:49
1	כעמ	1	כעם	תורה ארמית (פסוק 979)
1	כע	1	כיע	מימר מרקה II:49
1	כנעננ	1	יכנענון	תורה ארמית (פסוק 5062)
1	כלק	1	ואכהלק	תורה ארמית (פסוק 6971)
1	יא	1	יא	מימר מרקה IV:71
1	טרס	1	וטרסו	תורה ארמית (פסוק 6973)
1	טרדכ	1	וטרידך	מימר מרקה VI:12
1	טפשכנ	1	טפשיכון	תורה ארמית (פסוק 4809)
1	טעלנ	1	מטיעלין	מימר מרקה I:31
1	טעד	1	טעד	מימר מרקה I:33
1	טנרנת	1	טינרנית	תורה ארמית (פסוק 5054)
1	טלט	1	מטלט	מימר מרקה VI:2
1	טבתכ	1	לאוטבותך	תורה ארמית (פסוק 5055)
1	חתבמ	1	חותבים	תורה ארמית (פסוק 6981)
1	חשמענ	1	חשמעון	תורה ארמית (פסוק 4814)
1	חרברב	1	מחרברב	מימר מרקה IV:95
1	חצרמ	1	בחצרים	תורה ארמית (פסוק 4866)
1	חצבת	1	חצבת	תורה ארמית (פסוק 4999)
1	חצבמ	1	חציבים	תורה ארמית (פסוק 4999)
1	חסנננ	1	יחסננון	תורה ארמית (פסוק 4908)
1	חלמש	1	מחלמיש	מימר מרקה IV:68
1	חכמתכנ	1	חכמתכון	תורה ארמית (פסוק 4915)
1	חזל	1	חזיולה	תורה ארמית (פסוק 348)
1	חזכ	1	אחזך	תורה ארמית (פסוק 4945)
1	חדתכ	1	חדואתך	מימר מרקה III:66
1	זרתכ	1	דאהזרתך	מימר מרקה III:65
1	זרזמ	1	מזרזים	תורה ארמית (פסוק 4898)
1	זזעמ	1	מזזעים	מימר מרקה V:11
1	זזנ	1	בזיזין	מימר מרקה VI:39
1	זדננ	1	מזדיאנין	מימר מרקה I:9a
1	זדכננ	1	ואזדכינן	מימר מרקה II:49
1	זדזענ	1	מזדזעין	מימר מרקה I:9
1	זדזע	1	אזדזע	מימר מרקה V:19
1	זדבגת	1	הזדבגת	מימר מרקה II:28
1	זד	1	אזד	מימר מרקה IV:71
1	ויו	1	ויו	תורה ארמית (פסוק 3184)
1	וי	1	וי	מימר מרקה IV:52
1	והה	1	והה	תורה ארמית (פסוק 390)
1	דתפ	1	דתף	תורה ארמית (פסוק 4926)
1	דצטמת	1	ודאצטמתו	מימר מרקה IV:65
1	דצ	1	דצ	מימר מרקה VI:50
1	דעתכ	1	לאודעותך	תורה ארמית (פסוק 5042)
1	דנכנ	1	באדניכון	תורה ארמית (פסוק 4959)
1	דמטמרמ	1	ודמטמרים	תורה ארמית (פסוק 5033)
1	דט	1	דט	מימר מרקה V:3
1	דחלתכ	1	ודחלתך	תורה ארמית (פסוק 4868)
1	גשת	1	מגשת	מימר מרקה V:30b
1	גפננ	1	גפנין	תורה ארמית (פסוק 5047)
1	גענת	1	וגענת	תורה ארמית (פסוק 642)
1	געזת	1	געזת	מימר מרקה III:37
1	גס	1	בגסיה	מימר מרקה VI:27
1	גלער	1	גלעראה	תורה ארמית (פסוק 4649)
1	גלט	1	גליטה	מימר מרקה IV:97
1	גדש	1	גדישה	מימר מרקה I:67
1	בתבער	1	ובתבערה	תורה ארמית (פסוק 5081)
1	בשפלת	1	ובשפילתה	תורה ארמית (פסוק 4804)
1	בשלח	1	ובשלחה	תורה ארמית (פסוק 5082)
1	ברשעת	1	וברשעת	תורה ארמית (פסוק 5063)
1	בצד	1	ובצדיא	תורה ארמית (פסוק 5670)
1	בפט	1	ובפט	מימר מרקה III:67b
1	בעתנ	1	הבעתון	תורה ארמית (פסוק 4814)
1	בעבעת	1	אבעבעות	מימר מרקה II:7
1	במס	1	ובמסה	תורה ארמית (פסוק 5081)
1	בלננ	1	ויבהלנון	תורה ארמית (פסוק 5036)
1	בכשרת	1	ובכשרות	תורה ארמית (פסוק 5064)
1	בטכ	1	לבוטיך	תורה ארמית (פסוק 6970)
1	בחזנמ	1	ובחזוונים	תורה ארמית (פסוק 4943)
1	בזע	1	מבזע	מימר מרקה III:74
1	בדרת	1	ובדרת	מימר מרקה IV:88
1	בדרעכ	1	ובדרעך	תורה ארמית (פסוק 5088)
1	בדלנ	1	ובדילון	מימר מרקה V:9
1	בגבל	1	ובגבלה	תורה ארמית (פסוק 4855)
