word	freq_piyut	freq_memar	memar_he_candidate	conf	source	context
גלגיו	17	3	גדול	0.19	פיוט #448 — היא שבה אשבתה י וששת ימים תעבר	עלמים י גלגיו מתרברבי : יומה ראתמר למשה בגללו • הנה אנכי בא אליך
כפירות	20	0		0	פיוט #476 — צלו־ ת לילת מקרתה	הנרול ־ ברכה נדלה תמימותה : ויררש בה וישול י כפירות פשחותה : ויתחני
קשיט	17	2		0	פיוט #7 — עבודה דעלמה מן ישום רביאנך (דורן)	אהן אלה אלהך • אלהון דאבהתן : אהן נביא קשיט • בות מהימן אלה [?] :
שביעי	18	1		0	פיוט #27 — על חדש השביעי	עצרת שביעי מועדיה וקדש קרשיה * וכל ישראל מהר מנין ואנין עחידין
ויצליח	19	0		0	פיוט #85 — צלות שבת צמות הפסח	יקבץ נדחך י ויקבל פללך וישמע קל צבעך * ויצליח את שבילך :
תו	19	0		0	פיוט #133 — צלות יום חדש הראישון אן אתא בשבת	המתפרש : גא תו ורבותו ריאמים * בון כל כלום בנש ; ביהוד . היה שמים *
הזוכיר	19	0		0	פיוט #146 — מועדי יהוה אשר תקראו אתם מקראי קרש	מרן עליו עוד על השבת הזוכיר מן מימר כתובו אברהם בן יעקב בן
דגלגיו	19	0		0	פיוט #451 — צלות לילת מקרתה	דאמר שמור את יום השביעי דגלגיו יתרים : לאלה דאמר כבד אביך
מטלטל	17	1		0	פיוט #8 — אתי בשלם	אתי בשלם מועדה. דכרנה דממן לעלם. לא מטלטל. כל דריה׃
נו	15	3		0	פיוט #13 — צלות מרקה	נו די לך לעלם * דאתהו אלהנן : נתרחץ בחילך י ליח רדוצון כותך :
גי	18	0		0	פיוט #13 — צלות מרקה	מלל י גי סםנף
לק	17	1		0	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן	לחציה דסנו • ואגלו ביומינן : לק כלי וכפת * בישיר דקמינן ;
נוי	18	0		0	פיוט #22 — תורנים תתמר בשבתות	דלא *שוה בה נוי עוק איקרה דיום רשבתה דלא* מתה איקר יומה שביעה
וח	18	0		0	פיוט #28 — עורן כן על יום הכפור הקדוש על פינחס	הקהל • יהוה אל רחום וח נון * סלח לנו מרי ולאבותינו בחסדיך מכל אשר
הסניל	18	0		0	פיוט #71 — רב אלה * . * וכי בשם וישרו הקטף	אמר אלהינו האל • לברה דעמרם הסניל : כי תשא את ראש בני ישראל *
צל	17	0		0	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו	צל קורתך עלינו • אה אל הצבאות : צפי מן מעונך * שמעיו הבקעות :
יו	17	0		0	פיוט #22 — תורנים תתמר בשבתות	לית בכל יומיה יום רב איך יום שבתה • שבשבתה עקבה מרי בעלמה * כל יו
וב	13	4	באות	0.495	פיוט #38 — עורן כן לונ עוד על יומי השבעות	אבירי כל כרץ * וב י אר מנץ חמשה □פרין וכל ישראל מהר מנין :
טימר	17	0		0	פיוט #59 — אמנות העיבתות והמועדים	צוי את קרבני מן טימר הכהן הגדול פינחס רצון יהוד . עליו אמן :
למ	5	12	דומה	0.235	פיוט #60 — ישתבח אלהים לית אלה אלא אחד	השבת הזה • אשרי לשמוריו יכ למ ן שמרו י שמרי יתקרי ן
יושיע	17	0		0	פיוט #75 — צלות שבת צמות הפסח	אלהי נביד . רבה משה : לך ברחמיו יושיע : מכל דבב וקשה : ראסי באשוחך :
רעל	17	0		0	פיוט #80 — צלות שבת צמות הפסח	ספר קדשו : יהוה הוא האלהים * רעל ידו שבתות נ ומועדים לנן אתפרשו :
ושביעי	17	0		0	פיוט #234 — השביעי תשבת	בון כל הטובות קוי י ראש ושני ושלישי ושביעי • צ׳ ך ברום כתבי • ולא
ין	13	3	אינ	0.539	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן	מתחת אין .עוד מלבדו מק בי ; ידיך עמדתי ואתפניתי בפני אל המקום ■ין
הגביר	16	0		0	פיוט #83 — עורן מחלף יום ולילה	יתחיל דו הגביר •
סניל	16	0		0	פיוט #131 — צלות יום חדש הראישון אן אתא בשבת	מן משתוחה ולחמה : סניל בקדישותו * מן יומה דאשתמה : ושמירות קדשו *
וג	15	1		0	פיוט #371 — צלות השבת השט דמן שבע השבתות	וג ב
הרנריזים	15	0		0	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן	הרנריזים יא ל אלהי המשכן הקרש * וכל כלי הקרש אהיה אשר אהיה :
תודיע	15	0		0	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן	בוראין חדתין י עברת מן עדן : בדיל תודיע דאתה • קמאי נל אמ ן עדן :
שקיח	13	2	קהל	0.523	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן	דאת שקיח בכל אתר * לא כוח כל שקיח : כסי וחכום כל ח • לא
וה	11	4	זהו	0.638	פיוט #16 — לכהנה רבה עמרם דרה רצון יהוה עליו	שמה לשמה * אקפח ברבו* : יה וה אלהון דדרי ה ומשה נביא כל
יודיע	13	2	הייתה	0.564	פיוט #78 — צלות שבת צמות הפסח	ממללי יודיע ך • מה אשתוי ואתעבר : בין האיש חסידך * הנבי הכבד : ערן צא
