phrase	count	section
גדלה משפט	11	מימר מרקה IV:22
לה אה	10	מימר מרקה I:35
ומשה ואהרנ	10	מימר מרקה I:70
על פרעה	10	מימר מרקה I:56
ויהי לכ	10	מימר מרקה I:9
לכ דנ	10	מימר מרקה I:9
ויהי לכ דנ	10	מימר מרקה I:9
זל לזימונ	10	מימר מרקה I:26
זל לזימונ אחוכ	10	מימר מרקה I:26
כד שמע	10	מימר מרקה I:21
לה מנ	10	מימר מרקה I:55
אהנ רזה	10	מימר מרקה I:73
לה מרה	10	מימר מרקה I:20
מנ יתה	10	מימר מרקה I:20
משה אישה	10	מימר מרקה I:10a
ית אתתה	10	מימר מרקה I:23
יקרב לה	10	מימר מרקה I:7
קמ כותה	10	מימר מרקה II:7
קמ כותה ולא	10	מימר מרקה II:7
אמר נביה	10	מימר מרקה II:28
טוב מנ	10	מימר מרקה II:50
ידכ יהוה	10	מימר מרקה II:50
כד הוה	10	מימר מרקה III:39
עובד ביש	10	מימר מרקה III:68
רחמנה דרחמיו	10	מימר מרקה III:14
לגו עלמה	10	מימר מרקה III:1a
עשה גדלה משפט	10	מימר מרקה IV:22
משה ברה	10	מימר מרקה V:30b
ברה דעמרמ	10	מימר מרקה V:30b
לכ אה	9	מימר מרקה I:35
יהוה אל	9	מימר מרקה I:13
ביני כל	9	מימר מרקה I:70
הכ דאמר	9	מימר מרקה I:47
לית לאוי	9	מימר מרקה I:6
הכ הו	9	מימר מרקה I:12a
נב רבה	9	מימר מרקה I:75
נב רבה משה	9	מימר מרקה I:75
אמ לא	9	מימר מרקה I:40
בתר כנ	9	מימר מרקה I:53
מנ אשתה	9	מימר מרקה I:9
לא ידע	9	מימר מרקה I:19
רב וחיול	9	מימר מרקה I:19
פרעה ועל	9	מימר מרקה I:55
לבר מנה	9	מימר מרקה I:1
אלה על	9	מימר מרקה I:16a
על אהנ	9	מימר מרקה I:73
משה עלל	9	מימר מרקה I:77
לא קעמ	9	מימר מרקה I:77
ונביה רבה	9	מימר מרקה I:11a
חזי יהבתכ	9	מימר מרקה I:34
יהבתכ אלהימ	9	מימר מרקה I:34
אלהימ לפרעה	9	מימר מרקה I:34
חזי יהבתכ אלהימ	9	מימר מרקה I:34
יהבתכ אלהימ לפרעה	9	מימר מרקה I:34
לטב עד	9	מימר מרקה II:1b
לטב עד לעלמ	9	מימר מרקה II:1b
במד לה	9	מימר מרקה II:39
אמר כי	9	מימר מרקה II:38
אמר נביה רבה	9	מימר מרקה II:28
אהנ עובדה	9	מימר מרקה III:70
עמי הכ	9	מימר מרקה III:56
מכל איקר	9	מימר מרקה III:72a
בלכ לא	9	מימר מרקה III:59
מנ עובד	9	מימר מרקה III:68
למה לא	9	מימר מרקה III:18
כהלה אצלחו	9	מימר מרקה III:4
עד הנ	9	מימר מרקה III:65
דנ נביה	9	מימר מרקה III:1a
וחדה מנ	9	מימר מרקה III:48
רחמנ ולית	9	מימר מרקה IV:84
אלה רחמנ ולית	9	מימר מרקה IV:84
מנ יכל	9	מימר מרקה IV:71
לא הוה תמנ	9	מימר מרקה IV:68
משפט לא	9	מימר מרקה IV:22
גדלה משפט לא	9	מימר מרקה IV:22
יתרבי לעלמ	9	מימר מרקה IV:50
ביומ נקמ	9	מימר מרקה IV:20
מנ לא	9	מימר מרקה IV:41
עול כד	9	מימר מרקה IV:25
משה ברה דעמרמ	9	מימר מרקה V:30b
לה מותה	9	מימר מרקה V:4
אהנ מלכה	8	מימר מרקה I:39
מה חנאה	8	מימר מרקה I:12a
ידע אנה	8	מימר מרקה I:76
יה לאהרנ	8	מימר מרקה I:26
לאהרנ זל	8	מימר מרקה I:26
בדיל לא	8	מימר מרקה I:26
יה לאהרנ זל	8	מימר מרקה I:26
לאהרנ זל לזימונ	8	מימר מרקה I:26
מנ הדה	8	מימר מרקה I:21
עמה אל	8	מימר מרקה I:18
כל אמיה	8	מימר מרקה I:4
והוה ברד	8	מימר מרקה I:55
ברד בכל	8	מימר מרקה I:55
ולא יהי	8	מימר מרקה I:55
והוה ברד בכל	8	מימר מרקה I:55
ברד בכל ארע	8	מימר מרקה I:55
בשמ יהוה	8	מימר מרקה I:16a
אמר משה	8	מימר מרקה I:73
ואנסב משה	8	מימר מרקה I:23
אתתה וית	8	מימר מרקה I:23
ואנסב משה ית	8	מימר מרקה I:23
משה ית אתתה	8	מימר מרקה I:23
ית אתתה וית	8	מימר מרקה I:23
שמה רבה	8	מימר מרקה I:12
ונביה רבה משה	8	מימר מרקה I:11a
