phrase	count	section
שירתה רבתה	5	מימר מרקה IV:75
בה מנ	5	מימר מרקה IV:68
קמ ולא	5	מימר מרקה IV:68
לא קמ ולא	5	מימר מרקה IV:68
קמ ולא יקומ	5	מימר מרקה IV:68
קרנ אורה	5	מימר מרקה IV:43
כל דרכיו	5	מימר מרקה IV:22
לא יתר	5	מימר מרקה IV:22
יתר ולא	5	מימר מרקה IV:22
ולא פעת	5	מימר מרקה IV:22
כי כל דרכיו	5	מימר מרקה IV:22
לא יתר ולא	5	מימר מרקה IV:22
יתר ולא פעת	5	מימר מרקה IV:22
אפ אנונ	5	מימר מרקה IV:17
אהנ כמשה	5	מימר מרקה IV:102
כד חסל	5	מימר מרקה IV:15
נביה מהימנה	5	מימר מרקה IV:78
עמי אלינ	5	מימר מרקה IV:67
יומ דינה	5	מימר מרקה IV:100
כיר אדה	5	מימר מרקה IV:58
כנ אננ	5	מימר מרקה IV:46
עמו הכ	5	מימר מרקה IV:34
ישראל זעקה	5	מימר מרקה IV:79
זעקה מרה	5	מימר מרקה IV:79
ישראל זעקה מרה	5	מימר מרקה IV:79
באידנ מדע	5	מימר מרקה IV:45
מלאכי רומה	5	מימר מרקה IV:21
אהנ מלכה רבה	5	מימר מרקה IV:57
מה אתעבד	5	מימר מרקה IV:2
כות טלה	5	מימר מרקה V:30b
קביר ביד	5	מימר מרקה V:30b
בנ נונ	5	מימר מרקה V:6
אה יהושע	5	מימר מרקה V:6
וכד שמעו	5	מימר מרקה V:6
הכ הי	5	מימר מרקה V:8
לנו משה ברה	5	מימר מרקה V:14
יקרב לידה	5	מימר מרקה V:5
יקרב לידה מותה	5	מימר מרקה V:5
שבעה זבנינ	5	מימר מרקה V:24
לעלמ דנ	5	מימר מרקה V:24
יתרבי לעלמ דנ	5	מימר מרקה V:24
אנה שאלה	5	מימר מרקה V:4
כנ אנה שאלה	5	מימר מרקה V:4
לה שלמ עליכ	5	מימר מרקה V:16
ואמרת אה	5	מימר מרקה VI:35
הוה לי	5	מימר מרקה VI:35
יומה דבה	5	מימר מרקה VI:35
מה קעמת	5	מימר מרקה VI:43
קעמת עמכ	5	מימר מרקה VI:43
דאתה עתיד	4	מימר מרקה I:35
רב דחלתה	4	מימר מרקה I:35
בה פליאנ	4	מימר מרקה I:35
למשה ולאה	4	מימר מרקה I:35
בזריזו רבה	4	מימר מרקה I:35
אל תרח	4	מימר מרקה I:35
דעלו לידכ	4	מימר מרקה I:35
ליד פרעה מלכה	4	מימר מרקה I:35
אתחזי לידי	4	מימר מרקה I:13
ידע מה	4	מימר מרקה I:13
עבד משה	4	מימר מרקה I:70
מנ ארעה	4	מימר מרקה I:70
ואשתה קמיונ	4	מימר מרקה I:70
הות סכות	4	מימר מרקה I:70
דמיה הות	4	מימר מרקה I:70
כל דינ	4	מימר מרקה I:70
בעננה ובאשתה	4	מימר מרקה I:70
אלינ שניה	4	מימר מרקה I:70
בוראי עלמה	4	מימר מרקה I:70
ושת מונ דאלפ	4	מימר מרקה I:70
אסתכל פרעה	4	מימר מרקה I:47
כדנ אמר	4	מימר מרקה I:47
אמר יה	4	מימר מרקה I:47
שלח ית עמי	4	מימר מרקה I:47
מרה דכל	4	מימר מרקה I:39
משה ליה	4	מימר מרקה I:56
כל דהוו	4	מימר מרקה I:56
מבתר אהנ	4	מימר מרקה I:56
עמה לית	4	מימר מרקה I:56
עלמ על	4	מימר מרקה I:56
ישראל לא	4	מימר מרקה I:56
פיח אתונה	4	מימר מרקה I:56
צית שומיה	4	מימר מרקה I:56
כל מצראי	4	מימר מרקה I:56
עלמ על ממללה	4	מימר מרקה I:56
ואמר יה למשה	4	מימר מרקה I:56
מבכי לה	4	מימר מרקה I:75
יקירה דבית	4	מימר מרקה I:75
דבית אביו	4	מימר מרקה I:75
ובתר כל	4	מימר מרקה I:75
מבכי לה ואמר	4	מימר מרקה I:75
לה ואמר ניחח	4	מימר מרקה I:75
יקירה דבית אביו	4	מימר מרקה I:75
לגו ארע מצר	4	מימר מרקה I:75
לב פרעה	4	מימר מרקה I:76
אמיר לה	4	מימר מרקה I:76
לכ מה	4	מימר מרקה I:40
מנה ואנה	4	מימר מרקה I:45
מה דהוה	4	מימר מרקה I:45
הכ מה דהוה	4	מימר מרקה I:45
משה אנתח	4	מימר מרקה I:59
אנתח ית	4	מימר מרקה I:59
אדכ צית	4	מימר מרקה I:59
מניר לונ	4	מימר מרקה I:59
והוא לא	4	מימר מרקה I:59
עמי לה	4	מימר מרקה I:59
בית אסורה	4	מימר מרקה I:59
קרצ בצפרה	4	מימר מרקה I:59
מנ עלוי	4	מימר מרקה I:59
אל משה אנתח	4	מימר מרקה I:59
משה אנתח ית	4	מימר מרקה I:59
אנתח ית אדכ	4	מימר מרקה I:59
כמד פקד	4	מימר מרקה I:53
חרשיה קנומונ	4	מימר מרקה I:53
קנומונ נצעינ	4	מימר מרקה I:53
יתונ ולא	4	מימר מרקה I:53
עבוד פליאתה	4	מימר מרקה I:53
כמד פקד יהוה	4	מימר מרקה I:53
חרשיה קנומונ נצעינ	4	מימר מרקה I:53
דנ סימ	4	מימר מרקה I:9
דנ סי	4	מימר מרקה I:9
לכ דנ סימ	4	מימר מרקה I:9
לכ דנ סי	4	מימר מרקה I:9
וא יה	4	מימר מרקה I:26
אחוכ כי	4	מימר מרקה I:26
יה לא	4	מימר מרקה I:26
אמר ושמע	4	מימר מרקה I:26
לזימונ אחוכ כי	4	מימר מרקה I:26
רב חילה	4	מימר מרקה I:19
יכל ערק	4	מימר מרקה I:19
ערק ולא	4	מימר מרקה I:19
ולא יסטי	4	מימר מרקה I:19
חיל דחלתה	4	מימר מרקה I:19
יכל ערק ולא	4	מימר מרקה I:19
לא תדחל	4	מימר מרקה I:43
עבדת כל	4	מימר מרקה I:22
בכל הדה	4	מימר מרקה I:22
יהי לכ	4	מימר מרקה I:22
ולא תקומ	4	מימר מרקה I:22
כד שמע משה	4	מימר מרקה I:21
אל חורנ	4	מימר מרקה I:18
משה ואמר	4	מימר מרקה I:18
עמה אל חורנ	4	מימר מרקה I:18
על חברה	4	מימר מרקה I:27
ברכהנ רברבהנ	4	מימר מרקה I:4
הוה כותה	4	מימר מרקה I:17
לא הוה כותה	4	מימר מרקה I:17
דנ ממללה	4	מימר מרקה I:55
שומיה וארעה	4	מימר מרקה I:55
מצרימ מגבי	4	מימר מרקה I:55
ית לבה	4	מימר מרקה I:55
עזר משה	4	מימר מרקה I:55
ממללה ולא	4	מימר מרקה I:55
ושרוי אנשמותה	4	מימר מרקה I:55
אנשמותה ירחה	4	מימר מרקה I:55
ירחיה חסול	4	מימר מרקה I:55
בה אנה	4	מימר מרקה I:55
ארע מצרימ מגבי	4	מימר מרקה I:55
ושרוי אנשמותה ירחה	4	מימר מרקה I:55
אנשמותה ירחה אדנ	4	מימר מרקה I:55
ריש ירחיה חסול	4	מימר מרקה I:55
ועל לביתה	4	מימר מרקה I:50
מלכ מצרימ	4	מימר מרקה I:50
מבטל לה	4	מימר מרקה I:50
לא תשמע	4	מימר מרקה I:50
לונ ולא	4	מימר מרקה I:50
ואתפנה פרעה ועל	4	מימר מרקה I:50
פרעה ועל לביתה	4	מימר מרקה I:50
חילה רבה	4	מימר מרקה I:1
ולית חורי	4	מימר מרקה I:1
חורי לבר	4	מימר מרקה I:1
ולית חורי לבר	4	מימר מרקה I:1
חורי לבר מנה	4	מימר מרקה I:1
קשטה אמר	4	מימר מרקה I:16a
מהו אהנ	4	מימר מרקה I:73
מהו אהנ רזה	4	מימר מרקה I:73
לה תמנ	4	מימר מרקה I:15
מנ מדעה	4	מימר מרקה I:15
ביד רמה	4	מימר מרקה I:78
שמו לעולמ	4	מימר מרקה I:78
אהנ מימרה	4	מימר מרקה I:33
מנ יומה	4	מימר מרקה I:33
לכ שמי	4	מימר מרקה I:33
לא גליתה	4	מימר מרקה I:33
לכ שמי רבה	4	מימר מרקה I:33
ואזלו ועבדו	4	מימר מרקה I:67
ועבדו בני	4	מימר מרקה I:67
ואזלו ועבדו בני	4	מימר מרקה I:67
ועבדו בני ישראל	4	מימר מרקה I:67
דאמר לה מרה	4	מימר מרקה I:20
וכל מנ	4	מימר מרקה I:41
מנ אברהמ	4	מימר מרקה I:14
לה אתי	4	מימר מרקה I:10a
כל דבביכ	4	מימר מרקה I:23
כל דבב	4	מימר מרקה I:23
אלא מנ	4	מימר מרקה I:31
רב הו	4	מימר מרקה I:77
מה דאה	4	מימר מרקה I:77
ימה דסופ	4	מימר מרקה I:77
מי מרה	4	מימר מרקה I:48
מה אמר	4	מימר מרקה I:48
אמר אל	4	מימר מרקה I:48
אל אהרנ	4	מימר מרקה I:48
בשלמ אמר	4	מימר מרקה I:48
מה טב	4	מימר מרקה I:28
וקעמו קדמיו	4	מימר מרקה I:38
אה איקר	4	מימר מרקה I:11a
עלמה לא	4	מימר מרקה I:11a
לא חזו	4	מימר מרקה I:11a
אהנ ולא	4	מימר מרקה I:11a
כד שמעו	4	מימר מרקה I:42
עמו נביה	4	מימר מרקה I:14a
אדה על	4	מימר מרקה I:14a
כד תלא	4	מימר מרקה I:14a
עמו נביה רבה	4	מימר מרקה I:14a
אדה על ימה	4	מימר מרקה I:14a
עלמה וכל	4	מימר מרקה I:11
לא יכלו	4	מימר מרקה I:30
ביתה יומה	4	מימר מרקה I:29
לכ יה	4	מימר מרקה I:16
את למשלח	4	מימר מרקה I:46
מחי את למשלח	4	מימר מרקה I:46
את למשלח ית	4	מימר מרקה I:46
משה אה	4	מימר מרקה I:9a
ויאמר משה	4	מימר מרקה I:3
דלא קמ	4	מימר מרקה I:3
עזר מנ	4	מימר מרקה I:3
ויאמר משה משה	4	מימר מרקה I:3
וכל סיעתה	4	מימר מרקה I:34
כעטפ עינה	4	מימר מרקה I:34
זעק למשה	4	מימר מרקה I:54
כל עמה	4	מימר מרקה I:66
לעלמ לא	4	מימר מרקה I:66
על דמותה	4	מימר מרקה I:2
האלהימ החמישי	4	מימר מרקה II:1b
עד לעלמ נביה	4	מימר מרקה II:1b
דהוה בה	4	מימר מרקה II:47
ארצ מצר	4	מימר מרקה II:6
הגדלות לכ	4	מימר מרקה II:6
לעיני כל	4	מימר מרקה II:8
שבעת ימימ	4	מימר מרקה II:8
מימ חיימ	4	מימר מרקה II:8
ואמיר כי	4	מימר מרקה II:8
כי היתה	4	מימר מרקה II:8
על פי	4	מימר מרקה II:8
לא היה	4	מימר מרקה II:8
ישראל עד	4	מימר מרקה II:8
עד יעבר	4	מימר מרקה II:8
הכ לא	4	מימר מרקה II:8
ואמיר כי היתה	4	מימר מרקה II:8
מדילה דאלה	4	מימר מרקה II:39
רבה וילה	4	מימר מרקה II:39
רבעת עלמה	4	מימר מרקה II:39
יקומ עד	4	מימר מרקה II:1a
עד אחד	4	מימר מרקה II:1a
גלה מנ	4	מימר מרקה II:7
שפת הימ	4	מימר מרקה II:7
ביהוה ובמשה	4	מימר מרקה II:7
משרי ואמר	4	מימר מרקה II:48
עליו לא	4	מימר מרקה II:48
ירומ נביה	4	מימר מרקה II:40
עבד לה	4	מימר מרקה II:40
מה עבד	4	מימר מרקה II:40
מנ ישומ	4	מימר מרקה II:40
מנ ריש	4	מימר מרקה II:40
ריש בראשית	4	מימר מרקה II:40
ירומ נביה רבה	4	מימר מרקה II:40
לה מרה דעלמה	4	מימר מרקה II:40
מנ ריש בראשית	4	מימר מרקה II:40
ונזע מנ	4	מימר מרקה II:28
בני ישר	4	מימר מרקה II:49
מנ איקרה	4	מימר מרקה II:49
עמ משה	4	מימר מרקה II:49
ונהימנ בה	4	מימר מרקה II:51
ונהימנ בה ובמשה	4	מימר מרקה II:51
על יד	4	מימר מרקה II:18
מנ השמימ	4	מימר מרקה II:4
יהוה אלהי	4	מימר מרקה II:50
ימ עו	4	מימר מרקה II:50
על הרגריזימ	4	מימר מרקה II:50
עד יומ נקמ	4	מימר מרקה II:50
מקימ לכ	4	מימר מרקה II:46
לכוכבי שומיה	4	מימר מרקה III:35
ככוכבי שומיה	4	מימר מרקה III:35
גלה לנ	4	מימר מרקה III:13
ממנ עד	4	מימר מרקה III:13
מנ גבורתה	4	מימר מרקה III:13
אהנ איקרה רבה	4	מימר מרקה III:13
חכמה כהלה חיימ	4	מימר מרקה III:13
ממנ עד לעלמ	4	מימר מרקה III:13
ארור שכב	4	מימר מרקה III:70
עובדה בישה	4	מימר מרקה III:70
טב לכ	4	מימר מרקה III:70
ארור שכב עמ	4	מימר מרקה III:70
מנ אהנ עובדה	4	מימר מרקה III:70
בהדה מלתה	4	מימר מרקה III:71
בה מה	4	מימר מרקה III:47
לכ ולא	4	מימר מרקה III:47
כל מלה	4	מימר מרקה III:47
הוה לכ	4	מימר מרקה III:6
אחס עליכ	4	מימר מרקה III:6
עמ קדש	4	מימר מרקה III:39
אברהמ כד	4	מימר מרקה III:39
לא תסור	4	מימר מרקה III:39
אוכחו לכל	4	מימר מרקה III:56
יעקב כד	4	מימר מרקה III:56
לה ולזרעה	4	מימר מרקה III:56
יתודי יכולה	4	מימר מרקה III:56
בה חסרנ	4	מימר מרקה III:56
אוכחו לכל דריה	4	מימר מרקה III:56
והנ בלש	4	מימר מרקה III:75
עובד דיתעבד	4	מימר מרקה III:75
רחמנ ורתאה	4	מימר מרקה III:76
ביש מה	4	מימר מרקה III:76
לקבל עובד	4	מימר מרקה III:40
עובד מרחי	4	מימר מרקה III:40
יעבד אהנ	4	מימר מרקה III:45
בכ כל	4	מימר מרקה III:59
דנ רזה	4	מימר מרקה III:59
מלה מנ	4	מימר מרקה III:59
ואלה מזדכי	4	מימר מרקה III:53
אל בישה	4	מימר מרקה III:68
מנ עובד ביש	4	מימר מרקה III:68
בדיל יוספ	4	מימר מרקה III:26
נכראה לא	4	מימר מרקה III:19
בר נכראה	4	מימר מרקה III:19
לכ תהי	4	מימר מרקה III:43
עמי דנ	4	מימר מרקה III:22
ושבח לאלה	4	מימר מרקה III:22
מנ מקרוב	4	מימר מרקה III:69
לאוי עליננ	4	מימר מרקה III:69
לעלמ אה	4	מימר מרקה III:69
וילה למנ	4	מימר מרקה III:69
אלא לא	4	מימר מרקה III:69
לא יתעבד	4	מימר מרקה III:69
ונשתעבד לה	4	מימר מרקה III:69
חדה מנ	4	מימר מרקה III:21
דנ עובדה	4	מימר מרקה III:21
מד את	4	מימר מרקה III:21
חובה רבה	4	מימר מרקה III:72b
ומקימ יתה	4	מימר מרקה III:18
מריח לאלה	4	מימר מרקה III:27
תסטי מנה	4	מימר מרקה III:4
מנ מלי	4	מימר מרקה III:4
דר ודור	4	מימר מרקה III:4
לכל ישראל	4	מימר מרקה III:4
ית ירדנה	4	מימר מרקה III:37
וכנ אלה	4	מימר מרקה III:37
בר בכור	4	מימר מרקה III:17
מנ אלינ מליה	4	מימר מרקה III:17
מכלל בכל	4	מימר מרקה III:55
עלמ כהלה	4	מימר מרקה III:55
מנ חכמתה	4	מימר מרקה III:73
על חברתה	4	מימר מרקה III:73
יתרה על חברתה	4	מימר מרקה III:73
תרינ עסר	4	מימר מרקה III:25
משה את	4	מימר מרקה III:15
ולא הוה	4	מימר מרקה III:15
לאוי לה	4	מימר מרקה III:15
לה תקומה	4	מימר מרקה III:63
לא אמטה	4	מימר מרקה III:33
אלא בדיל	4	מימר מרקה III:1b
היומ הזה	4	מימר מרקה III:8
אנש דיהי	4	מימר מרקה III:8
כל קהל ישראל	4	מימר מרקה III:8
דרחמיו יתרימ	4	מימר מרקה III:14
רחמנה דרחמיו יתרימ	4	מימר מרקה III:14
יהוה אלהינו	4	מימר מרקה III:1a
אלהינו יהוה	4	מימר מרקה III:1a
יהוה אחד	4	מימר מרקה III:1a
איש האלהימ	4	מימר מרקה III:1a
כותה לעלמ	4	מימר מרקה III:1a
לית עמה	4	מימר מרקה III:1a
ולית עמה	4	מימר מרקה III:1a
יהוה אלהינו יהוה	4	מימר מרקה III:1a
אלהינו יהוה אחד	4	מימר מרקה III:1a
לית עמה אל	4	מימר מרקה III:1a
דאמר ותרחמ	4	מימר מרקה III:23
מלוא באהנ	4	מימר מרקה III:67a
בדילה ולא	4	מימר מרקה III:67a
קמ עוד	4	מימר מרקה III:67a
עוד נביא	4	מימר מרקה III:67a
בדילה ולא קמ	4	מימר מרקה III:67a
ולא קמ עוד	4	מימר מרקה III:67a
קמ עוד נביא	4	מימר מרקה III:67a
על ריש	4	מימר מרקה III:31
נביא כמשה	4	מימר מרקה III:7
ליד קשטה	4	מימר מרקה III:7
ויאבדו כל	4	מימר מרקה III:7
עמי כל	4	מימר מרקה III:48
חכמה מרביה	4	מימר מרקה III:48
על קשטה ולא	4	מימר מרקה III:5
דו צריכ	4	מימר מרקה III:24
יהב לה	4	מימר מרקה III:74
מעלמ על	4	מימר מרקה III:74
מנ פמה	4	מימר מרקה III:32
לא יחכמ	4	מימר מרקה III:60
מנ דהוה	4	מימר מרקה III:28
נכר לא	4	מימר מרקה III:64
קשטה לא	4	מימר מרקה III:67b
איקר רב	4	מימר מרקה III:11
וכנ עבד	4	מימר מרקה III:30
ית ארעה	4	מימר מרקה III:10
מנ טובה	4	מימר מרקה III:10
כלה מנה	4	מימר מרקה III:52
הנ הות	4	מימר מרקה III:62
דקעמו על	4	מימר מרקה III:16
למה דנ	4	מימר מרקה III:16
מנ בראשית	4	מימר מרקה III:46
לונ נביה	4	מימר מרקה III:36
אמר לונ נביה	4	מימר מרקה III:36
לונ נביה רבה	4	מימר מרקה III:36
מנה כד	4	מימר מרקה III:61
אלינ אנונ	4	מימר מרקה III:54
אנונ חברי	4	מימר מרקה III:54
אילנ טב	4	מימר מרקה III:2
חמת בקר	4	מימר מרקה IV:84
ואינ עוד	4	מימר מרקה IV:84
עוד מלבדו	4	מימר מרקה IV:84
עורי בר	4	מימר מרקה IV:84
ויהב לה	4	מימר מרקה IV:84
ואינ עוד מלבדו	4	מימר מרקה IV:84
ולית עורי בר	4	מימר מרקה IV:84
עורי בר מנה	4	מימר מרקה IV:84
הוא נביה	4	מימר מרקה IV:6
אחד לקלומה	4	מימר מרקה IV:6
שאל אבוכ	4	מימר מרקה IV:56
אבוכ ויחוי	4	מימר מרקה IV:56
בנימ לא	4	מימר מרקה IV:56
שאל אבוכ ויחוי	4	מימר מרקה IV:56
אבוכ ויחוי לכ	4	מימר מרקה IV:56
יתודי אלה	4	מימר מרקה IV:75
והוה מלוא	4	מימר מרקה IV:43
מלוא בכנ	4	מימר מרקה IV:43
קל מרה	4	מימר מרקה IV:43
דרכיו משפט	4	מימר מרקה IV:22
ויומ נקמ	4	מימר מרקה IV:22
כל דרכיו משפט	4	מימר מרקה IV:22
כי ידינ	4	מימר מרקה IV:103
ידינ יהוה	4	מימר מרקה IV:103
ביומ דינה	4	מימר מרקה IV:103
כי אני	4	מימר מרקה IV:103
כי ידינ יהוה	4	מימר מרקה IV:103
כל טביה	4	מימר מרקה IV:108
עזר ואמר	4	מימר מרקה IV:27
חסל מנ	4	מימר מרקה IV:4
ועוד חלופה	4	מימר מרקה IV:17
וכנ אשתה	4	מימר מרקה IV:17
משה הדה	4	מימר מרקה IV:50
מכנ אמר נביה	4	מימר מרקה IV:50
פה אל	4	מימר מרקה IV:102
אל פה	4	מימר מרקה IV:102
פה אל פה	4	מימר מרקה IV:102
לית לונ	4	מימר מרקה IV:73
כלי וטמי	4	מימר מרקה IV:86
אמר מלת	4	מימר מרקה IV:15
כהלה רבו	4	מימר מרקה IV:15
ומה בה	4	מימר מרקה IV:15
הא אלה	4	מימר מרקה IV:67
רחמנ אה	4	מימר מרקה IV:67
הא אלה רחמנ	4	מימר מרקה IV:67
אלה רחמנ אה	4	מימר מרקה IV:67
רחמנ אה נביא	4	מימר מרקה IV:67
עבודי עגלה	4	מימר מרקה IV:65
ושמה רבה	4	מימר מרקה IV:14
פמה דמשה	4	מימר מרקה IV:14
מלת ברא	4	מימר מרקה IV:14
כי בשמ	4	מימר מרקה IV:14
משה הוה	4	מימר מרקה IV:14
איכ משה	4	מימר מרקה IV:7
איכ משה לא	4	מימר מרקה IV:7
אנכי יהוה	4	מימר מרקה IV:32
דבב לאלינ	4	מימר מרקה IV:11
בלכ לא תהי	4	מימר מרקה IV:11
לא תהי דבב	4	מימר מרקה IV:11
תהי דבב לאלינ	4	מימר מרקה IV:11
אמר הוא	4	מימר מרקה IV:30
אמר וידבר	4	מימר מרקה IV:49
מנ אבוה	4	מימר מרקה IV:46
יהי כנ אננ	4	מימר מרקה IV:46
כל דר	4	מימר מרקה IV:61
עמ כל דר	4	מימר מרקה IV:61
על צלמה	4	מימר מרקה IV:44
ובכנ מרנ	4	מימר מרקה IV:44
דלא קעמ	4	מימר מרקה IV:44
מנה ישראל	4	מימר מרקה IV:79
טב מנה ישראל	4	מימר מרקה IV:79
מנה ישראל זעקה	4	מימר מרקה IV:79
אחס עליו	4	מימר מרקה IV:47
מנ אחס עליו	4	מימר מרקה IV:47
לכל מנ	4	מימר מרקה IV:76
אנשי סדמ	4	מימר מרקה IV:45
לעלמ משה	4	מימר מרקה IV:21
מנ בה	4	מימר מרקה IV:18
על אפי	4	מימר מרקה IV:88
מה רחמנ	4	מימר מרקה IV:57
הוא עשכ	4	מימר מרקה IV:52
הו אי	4	מימר מרקה IV:81
אהנ יומה	4	מימר מרקה V:20
אזל שלמ	4	מימר מרקה V:20
שלמ אה	4	מימר מרקה V:20
לגו אשתה	4	מימר מרקה V:20
אמר לה כל	4	מימר מרקה V:20
לה כל קהלה	4	מימר מרקה V:20
אזל שלמ אה	4	מימר מרקה V:20
ולא ערק	4	מימר מרקה V:35
ערק רטובה	4	מימר מרקה V:35
רטובה חכמננ	4	מימר מרקה V:35
ולא ערק רטובה	4	מימר מרקה V:35
ערק רטובה חכמננ	4	מימר מרקה V:35
לוחי בריתה	4	מימר מרקה V:30b
ואיתמר ופינחס	4	מימר מרקה V:6
לה אה יהושע	4	מימר מרקה V:6
טור נבא	4	מימר מרקה V:23
על רגליו	4	מימר מרקה V:7
אה בר	4	מימר מרקה V:7
ברה דאחי	4	מימר מרקה V:7
מרירה שעתה	4	מימר מרקה V:5
לא יקרב לידה	4	מימר מרקה V:5
לעלמ דנ נביה	4	מימר מרקה V:24
כמד כתב	4	מימר מרקה V:26
והוא סליק	4	מימר מרקה V:21
סליק ציבעד	4	מימר מרקה V:21
והוא סליק ציבעד	4	מימר מרקה V:21
חסלה הנ	4	מימר מרקה V:4
וצפה אל	4	מימר מרקה V:16
אמרת וכרזת	4	מימר מרקה V:3
ואמרת אה נביה	4	מימר מרקה VI:35
לא הוה לי	4	מימר מרקה VI:35
חכמה ולידה	4	מימר מרקה VI:6
בריש קציה	4	מימר מרקה VI:53
מה קעמת עמכ	4	מימר מרקה VI:43
ועמונה קעמ	4	מימר מרקה VI:25
כד שבקו	4	מימר מרקה VI:7
אה משה	3	מימר מרקה I:35
דאנה בעי	3	מימר מרקה I:35
מנ רב	3	מימר מרקה I:35
וכל עבדיו	3	מימר מרקה I:35
מנה כי	3	מימר מרקה I:35
עמי בה	3	מימר מרקה I:35
מנ רזי	3	מימר מרקה I:35
אמר לאהרנ	3	מימר מרקה I:35
סב אטרה	3	מימר מרקה I:35
עביד לה	3	מימר מרקה I:35
קעמו תריונ	3	מימר מרקה I:35
יתונ תריה	3	מימר מרקה I:35
תשלח ישראל	3	מימר מרקה I:35
על תרחה	3	מימר מרקה I:35
ואנונ בעינ	3	מימר מרקה I:35
מה הוה	3	מימר מרקה I:13
מה יהי	3	מימר מרקה I:13
מעלמ עליו	3	מימר מרקה I:13
בדיל כנ	3	מימר מרקה I:13
רוח אריכה	3	מימר מרקה I:13
בה רוח אריכה	3	מימר מרקה I:13
ואמרו לה	3	מימר מרקה I:70
מנונ כל	3	מימר מרקה I:70
שעילה דהות	3	מימר מרקה I:70
דהות מרירה	3	מימר מרקה I:70
מרירה עד	3	מימר מרקה I:70
חוב לא	3	מימר מרקה I:70
וטובה וחסדה	3	מימר מרקה I:70
וחסדה מסמכינ	3	מימר מרקה I:70
מסמכינ לונ	3	מימר מרקה I:70
לונ תמנ	3	מימר מרקה I:70
כוכביו דאברהמ	3	מימר מרקה I:70
גוזליה דשרה	3	מימר מרקה I:70
ובני ישראל	3	מימר מרקה I:70
רבותונ ביני	3	מימר מרקה I:70
כל בוראי	3	מימר מרקה I:70
שגר ית עמה	3	מימר מרקה I:70
שעילה דהות מרירה	3	מימר מרקה I:70
דהות מרירה עד	3	מימר מרקה I:70
מרירה עד מותר	3	מימר מרקה I:70
וטובה וחסדה מסמכינ	3	מימר מרקה I:70
וחסדה מסמכינ לונ	3	מימר מרקה I:70
רבותונ ביני כל	3	מימר מרקה I:70
ביני כל בוראי	3	מימר מרקה I:70
כל בוראי עלמה	3	מימר מרקה I:70
קעומ על	3	מימר מרקה I:47
מנ קשטה	3	מימר מרקה I:47
יה שלח	3	מימר מרקה I:47
מחי אתה	3	מימר מרקה I:47
אמר יה שלח	3	מימר מרקה I:47
יה שלח ית	3	מימר מרקה I:47
מה עבדו	3	מימר מרקה I:6
אכהנ אמר	3	מימר מרקה I:39
ישראל כמה	3	מימר מרקה I:39
ענה ואמר	3	מימר מרקה I:39
כדו מנ	3	מימר מרקה I:39
עד תהי	3	מימר מרקה I:39
ישראל כמה דאמר	3	מימר מרקה I:39
מנ מרה דכל	3	מימר מרקה I:39
מה אתה	3	מימר מרקה I:12a
ימה הכ	3	מימר מרקה I:12a
אמר מנ	3	מימר מרקה I:12a
לקבל אלינ	3	מימר מרקה I:12a
משה הכ אמר	3	מימר מרקה I:12a
לקבל אלינ מליה	3	מימר מרקה I:12a
הוה לבה	3	מימר מרקה I:56
דהוה לבה	3	מימר מרקה I:56
לבה מתקפ	3	מימר מרקה I:56
שחינ פרח	3	מימר מרקה I:56
רב ביני	3	מימר מרקה I:56
ודינה ראמ	3	מימר מרקה I:56
ראמ עליו	3	מימר מרקה I:56
ודינה ראמ עליו	3	מימר מרקה I:56
ראמ עליו ולא	3	מימר מרקה I:56
נביה מנ	3	מימר מרקה I:75
כליל מנ	3	מימר מרקה I:75
בעל צפונ	3	מימר מרקה I:76
אתו ליד	3	מימר מרקה I:76
ידע אנה כי	3	מימר מרקה I:76
הוה יכל	3	מימר מרקה I:40
עמה פרעה	3	מימר מרקה I:45
ולאהרנ ואמר	3	מימר מרקה I:45
מצדי מנה	3	מימר מרקה I:45
למשה ולאהרנ ואמר	3	מימר מרקה I:45
נאר מניר	3	מימר מרקה I:59
שלח עמה	3	מימר מרקה I:59
בערימו רבה	3	מימר מרקה I:59
משה לית	3	מימר מרקה I:59
לית בננ	3	מימר מרקה I:59
דאננ בעינ	3	מימר מרקה I:59
בעינ נקרב	3	מימר מרקה I:59
עננה ברבו	3	מימר מרקה I:59
אמר לה משה	3	מימר מרקה I:59
עננה ברבו רבה	3	מימר מרקה I:59
ועבדו כמד	3	מימר מרקה I:53
ולית בנ	3	מימר מרקה I:53
ועבדו כמד פקד	3	מימר מרקה I:53
שעה חדה	3	מימר מרקה I:68
וקטל כל	3	מימר מרקה I:68
כל בכור	3	מימר מרקה I:68
ביתה ליליה	3	מימר מרקה I:68
עמו יתה	3	מימר מרקה I:68
לגו ארע מצרימ	3	מימר מרקה I:68
כד עמו יתה	3	מימר מרקה I:68
אתה עביד	3	מימר מרקה I:9
לית אנש	3	מימר מרקה I:9
נסטי מנ	3	מימר מרקה I:26
נצח עמה	3	מימר מרקה I:26
לא ידחל	3	מימר מרקה I:26
סימני בדיל	3	מימר מרקה I:26
לשנ אנה	3	מימר מרקה I:26
הו יהי	3	מימר מרקה I:26
ולא נסטי מנ	3	מימר מרקה I:26
ובתר כנ אמר	3	מימר מרקה I:26
עמי כדו	3	מימר מרקה I:19
ני אדכ	3	מימר מרקה I:19
והו לא	3	מימר מרקה I:19
